eps,F_in_circuit,F_in_analytic,P_success_circuit,P_success_analytic,F_out_circuit,F_out_analytic,eps_prime_circuit,eps_prime_analytic,gain_circuit,purity_out,C_in,C_out,N_in,N_out,abs_err_P_success,abs_err_F_out,abs_err_eps_prime
0.11800000000000001,0.9114999999999996,0.9115,0.8334429999999994,0.8334429999999999,0.9968675122353897,0.9968675122353898,0.0041766503528137084,0.0041766503528135705,0.08536751223539008,0.993748107776907,0.823,0.9937350244707667,0.41149999999999975,0.49686751223538983,5.551115123125783e-16,1.1102230246251565e-16,1.3791051634015616e-16
0.12,0.9099999999999996,0.91,0.8307999999999995,0.8308000000000001,0.9967501203659123,0.9967501203659124,0.004333172845450317,0.004333172845450168,0.08675012036591268,0.9935143230220063,0.8200000000000002,0.9935002407318061,0.4099999999999998,0.4967501203659124,5.551115123125783e-16,1.1102230246251565e-16,1.491862189340054e-16
0.122,0.9084999999999995,0.9085,0.8281629999999994,0.828163,0.9966301923655124,0.9966301923655126,0.004493076845983435,0.004493076845983218,0.0881301923655129,0.9932755255356832,0.8169999999999995,0.9932603847310194,0.40849999999999964,0.49663019236551253,5.551115123125783e-16,2.220446049250313e-16,2.1684043449710089e-16
0.124,0.9069999999999997,0.907,0.8255319999999995,0.825532,0.9965077065455971,0.9965077065455973,0.0046563912725372525,0.004656391272536982,0.08950770654559737,0.9930316745759565,0.8140000000000002,0.993015413091192,0.4069999999999998,0.49650770654559717,5.551115123125783e-16,2.220446049250313e-16,2.706168622523819e-16
0.126,0.9054999999999996,0.9055,0.8229069999999993,0.8229069999999999,0.9963826410517834,0.9963826410517835,0.004823145264288768,0.004823145264288675,0.09088264105178379,0.9927827291512475,0.8109999999999995,0.9927652821035565,0.40549999999999975,0.49638264105178354,6.661338147750939e-16,1.1102230246251565e-16,9.280770596475918e-17
0.128,0.9039999999999997,0.904,0.8202879999999996,0.820288,0.9962549738628383,0.9962549738628385,0.004993368182882207,0.004993368182882109,0.09225497386283865,0.9925286480200345,0.808,0.9925099477256585,0.4039999999999998,0.49625497386283857,4.440892098500626e-16,1.1102230246251565e-16,9.80118763926896e-17
0.13,0.9024999999999996,0.9025,0.8176749999999994,0.8176749999999999,0.9961246827896167,0.9961246827896169,0.0051670896138443405,0.005167089613844132,0.09362468278961711,0.992269389690542,0.8049999999999998,0.9922493655792177,0.40249999999999975,0.49612468278961686,5.551115123125783e-16,1.1102230246251565e-16,2.0816681711721685e-16
0.132,0.9009999999999996,0.901,0.8150679999999996,0.815068,0.9959917454739969,0.9959917454739973,0.005344339368004085,0.005344339368003652,0.09499174547399736,0.9920049124204544,0.8020000000000006,0.9919834909480152,0.4009999999999998,0.49599174547399705,4.440892098500626e-16,3.3306690738754696e-16,4.3281350725621337e-16
0.134,0.8994999999999995,0.8995,0.8124669999999994,0.8124669999999999,0.9958561393878149,0.9958561393878151,0.0055251474829134395,0.005525147482913153,0.0963561393878154,0.9917351742166612,0.799,0.9917122787756277,0.39949999999999963,0.49585613938781514,5.551115123125783e-16,2.220446049250313e-16,2.8622937353617317e-16
0.136,0.8979999999999997,0.898,0.8098719999999995,0.809872,0.9957178418317955,0.9957178418317956,0.005709544224272722,0.005709544224272478,0.09771784183179577,0.9914601328350279,0.7960000000000005,0.9914356836636038,0.3979999999999998,0.49571784183179557,5.551115123125783e-16,1.1102230246251565e-16,2.445960101127298e-16
0.138,0.8964999999999996,0.8965,0.8072829999999994,0.807283,0.9955768299344837,0.995576829934484,0.005897560087355054,0.0058975600873547454,0.09907682993448408,0.9911797457802057,0.793,0.9911536598689478,0.39649999999999963,0.49557682993448393,5.551115123125783e-16,3.3306690738754696e-16,3.0878077872387166e-16
