p,eps0,n,F,C
0.1,0.5,22,0.8578782330608752,0.715756466121751
0.1,0.5,23,0.8578782330633017,0.7157564661266026
0.1,0.5,24,0.8578782330640407,0.7157564661280804
0.1,0.5,25,0.8578782330642654,0.715756466128531
0.1,0.5,26,0.857878233064334,0.7157564661286683
0.1,0.5,27,0.8578782330643547,0.7157564661287099
0.1,0.5,28,0.8578782330643611,0.715756466128723
0.1,0.5,29,0.8578782330643632,0.7157564661287266
0.1,0.5,30,0.8578782330643638,0.7157564661287278
0.1,0.5,31,0.8578782330643641,0.7157564661287292
0.1,0.5,32,0.8578782330643641,0.7157564661287292
0.1,0.5,33,0.8578782330643641,0.7157564661287292
0.1,0.5,34,0.8578782330643641,0.7157564661287292
0.1,0.5,35,0.8578782330643641,0.7157564661287292
0.1,0.5,36,0.8578782330643641,0.7157564661287292
0.1,0.5,37,0.8578782330643641,0.7157564661287292
0.1,0.5,38,0.8578782330643641,0.7157564661287292
0.1,0.5,39,0.8578782330643641,0.7157564661287292
0.1,0.5,40,0.8578782330643641,0.7157564661287292
0.1,0.8,0,0.3999999999999998,0.0
0.1,0.8,1,0.46306537574535533,0.0
0.1,0.8,2,0.5511549418942956,0.1023098837885908
0.1,0.8,3,0.6578473269107761,0.3156946538215518
0.1,0.8,4,0.7555550677567392,0.5111101355134781
0.1,0.8,5,0.8167453732841541,0.6334907465683088
0.1,0.8,6,0.843779419689715,0.6875588393794301
0.1,0.8,7,0.853392363945653,0.7067847278913059
0.1,0.8,8,0.8564905724298345,0.7129811448596692
0.1,0.8,9,0.8574531733987408,0.7149063467974814
0.1,0.8,10,0.8577484830561075,0.7154969661122149
0.1,0.8,11,0.8578386792150614,0.7156773584301233
0.1,0.8,12,0.8578661821133156,0.7157323642266311
0.1,0.8,13,0.8578745625184487,0.7157491250368966
0.1,0.8,14,0.8578771152452112,0.7157542304904219
0.1,0.8,15,0.8578778926785919,0.7157557853571852
0.1,0.8,16,0.8578781294200292,0.7157562588400584
0.1,0.8,17,0.857878201506812,0.7157564030136242
0.1,0.8,18,0.8578782234559786,0.7157564469119562
0.1,0.8,19,0.8578782301389279,0.715756460277856
0.1,0.8,20,0.8578782321736745,0.7157564643473487
0.1,0.8,21,0.8578782327931832,0.7157564655863654
0.1,0.8,22,0.8578782329818002,0.7157564659636009
0.1,0.8,23,0.8578782330392267,0.7157564660784533
0.1,0.8,24,0.8578782330567106,0.7157564661134217
0.1,0.8,25,0.8578782330620338,0.7157564661240675
0.1,0.8,26,0.8578782330636545,0.7157564661273095
0.1,0.8,27,0.8578782330641479,0.715756466128296
0.1,0.8,28,0.8578782330642982,0.7157564661285956
0.1,0.8,29,0.857878233064344,0.7157564661286875
0.1,0.8,30,0.857878233064358,0.7157564661287166
0.1,0.8,31,0.8578782330643622,0.7157564661287242
0.1,0.8,32,0.8578782330643634,0.715756466128727
0.1,0.8,33,0.8578782330643637,0.7157564661287277
0.1,0.8,34,0.857878233064364,0.7157564661287276
0.1,0.8,35,0.857878233064364,0.7157564661287291
0.1,0.8,36,0.857878233064364,0.715756466128729
0.1,0.8,37,0.857878233064364,0.7157564661287291
0.1,0.8,38,0.857878233064364,0.7157564661287291
0.1,0.8,39,0.857878233064364,0.7157564661287291
0.1,0.8,40,0.857878233064364,0.7157564661287291
0.15,0.1,0,0.9249999999999999,0.8499999999999993
0.15,0.1,1,0.8046779906894101,0.6093559813788202
0.15,0.1,2,0.7633886014706687,0.5267772029413376
0.15,0.1,3,0.7435886575145285,0.4871773150290568
0.15,0.1,4,0.7329507888560818,0.46590157771216334
0.15,0.1,5,0.7269162900222093,0.4538325800444183
0.15,0.1,6,0.7233920394173223,0.4467840788346452
0.15,0.1,7,0.7212996504032448,0.4425993008064893
0.15,0.1,8,0.7200454037260482,0.4400908074520965
0.15,0.1,9,0.7192892855160221,0.4385785710320443
0.15,0.1,10,0.7188319123571921,0.43766382471438464
0.15,0.1,11,0.7185546839141835,0.4371093678283671
0.15,0.1,12,0.7183864400418969,0.43677288008379384
0.15,0.1,13,0.7182842605918871,0.43656852118377454
0.15,0.1,14,0.7182221761014435,0.4364443522028866
0.15,0.1,15,0.7181844431439262,0.43636888628785225
0.15,0.1,16,0.7181615064875663,0.4363230129751329
0.15,0.1,17,0.718147562638174,0.4362951252763481
0.15,0.1,18,0.7181390852613836,0.43627817052276735
0.15,0.1,19,0.7181339311218522,0.43626786224370456
0.15,0.1,20,0.7181307973998048,0.4362615947996099
0.15,0.1,21,0.7181288920680857,0.43625778413617183
0.15,0.1,22,0.7181277335995385,0.43625546719907704
0.15,0.1,23,0.7181270292308678,0.43625405846173626
0.15,0.1,24,0.7181266009614069,0.4362532019228136
0.15,0.1,25,0.7181263405650136,0.4362526811300268
0.15,0.1,26,0.7181261822386286,0.4362523644772571
0.15,0.1,27,0.7181260859728533,0.4362521719457063
0.15,0.1,28,0.7181260274412118,0.43625205488242336
0.15,0.1,29,0.7181259918527187,0.4362519837054374
