circuit,n_cnot,case,case_kind,p_in_PhiP,p_in_PhiM,p_in_PsiP,p_in_PsiM,q,p_out_PhiP,p_out_PhiM,p_out_PsiP,p_out_PsiM,max_bell_offdiag,trace_weight,trace_weight_meaning,norm_err,min_bell_pop,backend_cross_check
Type3,16,isotropic_eps0.6667,deterministic,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.001,0.7475872488721255,0.08424825087612424,0.08408225012587507,0.08408225012587507,6.305582183150779e-17,0.3296854398023532,parity_visibility,1.1102230246251565e-16,0.08408225012587507,1.954e-16
Type3,16,isotropic_eps0.6667,deterministic,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.005,0.7380144409138546,0.08787302674242646,0.0870562661718594,0.08705626617185931,1.3502604280220071e-17,0.3154633759010594,parity_visibility,2.220446049250313e-16,0.08705626617185931,2.221e-16
Type3,16,isotropic_eps0.6667,deterministic,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.01,0.726223846328371,0.09232588617363172,0.09072513374899856,0.09072513374899857,1.39417744659265e-16,0.29849100314961546,parity_visibility,1.1102230246251565e-16,0.09072513374899856,1.527e-16
Type3,16,isotropic_eps0.6667,deterministic,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.02,0.7032238759487924,0.10097384417954962,0.09790113993582888,0.09790113993582893,7.015248106824245e-17,0.2670716968447946,parity_visibility,2.220446049250313e-16,0.09790113993582888,6.939e-17
Type3,16,isotropic_eps0.6667,deterministic,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.05,0.6388000262703286,0.12490781763476368,0.11814607804745375,0.11814607804745374,1.1610268162366804e-16,0.19032381640255505,parity_visibility,2.220446049250313e-16,0.11814607804745374,4.857e-17
Type3,16,isotropic_eps0.6667,deterministic,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1,0.546098301468778,0.15847870681874138,0.14771149585624024,0.14771149585624024,1.4637477844332586e-16,0.1062336037374674,parity_visibility,2.220446049250313e-16,0.14771149585624024,6.939e-17
Type3,16,isotropic_eps0.6667,deterministic,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.15,0.47046647329913166,0.18490989835930402,0.1723118141707821,0.1723118141707821,7.990926899038607e-17,0.057782740212754244,parity_visibility,1.1102230246251565e-16,0.1723118141707821,2.082e-17
Type3,16,isotropic_eps0.6667,deterministic,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,0.41017519161583027,0.20515094634756806,0.19233693101830068,0.19233693101830068,2.0851136963476878e-16,0.030508584359253296,parity_visibility,2.220446049250313e-16,0.19233693101830068,5.898e-17
Type3,16,isotropic_eps0.6667,deterministic,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3,0.3278077837103792,0.23098031953746256,0.22060594837607903,0.22060594837607903,1.136580210607914e-15,0.007627067119040799,parity_visibility,1.1102230246251565e-16,0.22060594837607903,2.776e-17
Type3,16,isotropic_eps0.8000,deterministic,0.3999999999999999,0.2,0.2,0.2,0.0,0.5714285714285712,0.14285714285714296,0.14285714285714285,0.14285714285714285,4.2579987675789415e-17,0.2799999999999996,parity_visibility,2.220446049250313e-16,0.14285714285714285,9.714e-17
Type3,16,isotropic_eps0.8000,deterministic,0.3999999999999999,0.2,0.2,0.2,0.0001,0.5712548829597334,0.14292217860578738,0.14291146921723955,0.14291146921723963,6.19319213488712e-17,0.2797081397590878,parity_visibility,1.1102230246251565e-16,0.14291146921723955,3.469e-16
Type3,16,isotropic_eps0.8000,deterministic,0.3999999999999999,0.2,0.2,0.2,0.001,0.5696949258413129,0.14350612728855677,0.14339947343506515,0.14339947343506512,4.195370975535444e-17,0.27709393916240654,parity_visibility,1.1102230246251565e-16,0.14339947343506512,9.718e-17
Type3,16,isotropic_eps0.8000,deterministic,0.3999999999999999,0.2,0.2,0.2,0.005,0.5628320201899494,0.1460717054264352,0.1455481371918077,0.14554813719180762,1.2148395721711234e-16,0.2657444361989046,parity_visibility,1.1102230246251565e-16,0.14554813719180762,2.221e-16
Type3,16,isotropic_eps0.8000,deterministic,0.3999999999999999,0.2,0.2,0.2,0.01,0.5544132674068498,0.14921106944680773,0.1481878315731711,0.14818783157317117,5.885464039060539e-17,0.25215789313527,parity_visibility,1.1102230246251565e-16,0.1481878315731711,8.328e-17
Type3,16,isotropic_eps0.8000,deterministic,0.3999999999999999,0.2,0.2,0.2,0.02,0.5380998649838333,0.15526885795446826,0.15331563853084906,0.15331563853084912,7.45750948376071e-17,0.22687745996613334,parity_visibility,2.220446049250313e-16,0.15331563853084906,1.804e-16
Type3,16,isotropic_eps0.8000,deterministic,0.3999999999999999,0.2,0.2,0.2,0.05,0.49318530895158985,0.17175777016340152,0.16752846044250425,0.16752846044250427,6.8094744161887e-17,0.16431448418306016,parity_visibility,1.1102230246251565e-16,0.16752846044250425,1.388e-16
Type3,16,isotropic_eps0.8000,deterministic,0.3999999999999999,0.2,0.2,0.2,0.1,0.4306395842526222,0.19416594668555293,0.1875972345309123,0.1875972345309123,1.9855673411318258e-16,0.09403264776148816,parity_visibility,3.3306690738754696e-16,0.1875972345309123,4.857e-17
Type3,16,isotropic_eps0.8000,deterministic,0.3999999999999999,0.2,0.2,0.2,0.15,0.38152815138841617,0.21116787911389634,0.20365198474884366,0.20365198474884366,8.641011189259491e-17,0.05230169117110705,parity_visibility,2.220446049250313e-16,0.20365198474884366,2.446e-17
Type3,16,isotropic_eps0.8000,deterministic,0.3999999999999999,0.2,0.2,0.2,0.2,0.34369852986030647,0.22376441163911448,0.21626852925028947,0.21626852925028947,9.372393469705513e-17,0.02816295955333115,parity_visibility,0.0,0.21626852925028947,3.816e-17
Type3,16,isotropic_eps0.8000,deterministic,0.3999999999999999,0.2,0.2,0.2,0.3,0.2941080586151779,0.2392180301162878,0.233336955634267,0.233336955634267,1.9044653322208616e-15,0.007265348146854662,parity_visibility,2.220446049250313e-16,0.233336955634267,5.204e-17
Type3,16,isotropic_eps1.0000,deterministic,0.25,0.25,0.25,0.25,0.0,0.24999999999999994,0.24999999999999994,0.24999999999999994,0.24999999999999994,5.5927857926893454e-18,0.2499999999999996,parity_visibility,2.220446049250313e-16,0.24999999999999994,1.388e-17
Type3,16,isotropic_eps1.0000,deterministic,0.25,0.25,0.25,0.25,0.0001,0.24999999999999997,0.24999999999999997,0.24999999999999994,0.24999999999999994,4.1788945556486755e-17,0.24975011247000492,parity_visibility,2.220446049250313e-16,0.24999999999999994,1.735e-16
Type3,16,isotropic_eps1.0000,deterministic,0.25,0.25,0.25,0.25,0.001,0.25,0.25,0.24999999999999994,0.24999999999999994,1.1692625252129177e-16,0.24751122005243667,parity_visibility,0.0,0.24999999999999994,8.327e-17
Type3,16,isotropic_eps1.0000,deterministic,0.25,0.25,0.25,0.25,0.005,0.24999999999999997,0.24999999999999997,0.2499999999999999,0.2499999999999999,6.954452117211567e-17,0.23777753261644258,parity_visibility,3.3306690738754696e-16,0.2499999999999999,2.498e-16
Type3,16,isotropic_eps1.0000,deterministic,0.25,0.25,0.25,0.25,0.01,0.24999999999999992,0.24999999999999992,0.24999999999999992,0.24999999999999992,1.403336994085784e-17,0.22609551875220085,parity_visibility,3.3306690738754696e-16,0.24999999999999992,3.469e-17
Type3,16,isotropic_eps1.0000,deterministic,0.25,0.25,0.25,0.25,0.02,0.24999999999999997,0.24999999999999997,0.24999999999999992,0.24999999999999992,1.2842298837275723e-16,0.2042682017218864,parity_visibility,2.220446049250313e-16,0.24999999999999992,1.874e-16
Type3,16,isotropic_eps1.0000,deterministic,0.25,0.25,0.25,0.25,0.05,0.2499999999999999,0.2499999999999999,0.25,0.25,6.11754099584156e-17,0.14968423480959434,parity_visibility,2.220446049250313e-16,0.2499999999999999,6.245e-17
Type3,16,isotropic_eps1.0000,deterministic,0.25,0.25,0.25,0.25,0.1,0.24999999999999992,0.24999999999999992,0.24999999999999992,0.24999999999999992,4.032864241623444e-18,0.087169610025,parity_visibility,3.3306690738754696e-16,0.24999999999999992,3.817e-17
Type3,16,isotropic_eps1.0000,deterministic,0.25,0.25,0.25,0.25,0.15,0.24999999999999994,0.24999999999999994,0.24999999999999986,0.24999999999999986,2.506311782503147e-16,0.049218601085180544,parity_visibility,3.3306690738754696e-16,0.24999999999999986,1.735e-17
Type3,16,isotropic_eps1.0000,deterministic,0.25,0.25,0.25,0.25,0.2,0.24999999999999967,0.24999999999999967,0.2500000000000002,0.2500000000000002,5.731872979697678e-16,0.026843545600000056,parity_visibility,2.220446049250313e-16,0.24999999999999967,6.245e-17
Type3,16,isotropic_eps1.0000,deterministic,0.25,0.25,0.25,0.25,0.3,0.25000000000000017,0.25000000000000017,0.24999999999999972,0.24999999999999972,4.729868653086712e-16,0.007061881225000004,parity_visibility,2.220446049250313e-16,0.24999999999999972,3.123e-17
